Midpoint
Fine particulate matter formation
Fossil resource scarcity
Freshwater ecotoxicity
Freshwater eutrophication
Global warming
Human carcinogenic toxicity
Human non-carcinogenic toxicity
Ionizing radiation
Land use
Marine ecotoxicity
Marine eutrophication
Mineral resource scarcity
Ozone formation
Stratospheric ozone depletion
Terrestrial acidification
Terrestrial ecotoxicity
Water consumption
