System,Outage,Midpoint,Unit,Materials & Mfg,Transport,Use,End-of-Life
Propane,Moderate,Marine eutrophication,Pt,4.96E-05,3.78E-07,6.51E-05,1.20E-08
Propane,Moderate,Terrestrial ecotoxicity,Pt,0.57836996,5.54E-03,0.40762313,5.70E-05
Propane,Moderate,Freshwater ecotoxicity,Pt,0.19830503,3.47E-04,3.73E-02,3.52E-06
Propane,Moderate,Marine ecotoxicity,Pt,4.34E-02,1.09E-04,1.16E-02,1.34E-06
Propane,Moderate,Human carcinogenic toxicity,Pt,1282.6006,0.70588997,131.70092,1.53E-02
Propane,Moderate,Human non-carcinogenic toxicity,Pt,56.145133,0.22201421,12.687206,1.92E-03
Propane,Moderate,Land use,Pt,0.35118603,7.42E-03,0.26126873,-5.20E-04
Propane,Moderate,Mineral resource scarcity,Pt,0.20837253,3.00E-04,5.20E-02,5.04E-06
Propane,Moderate,Fossil resource scarcity,Pt,4.2554756,6.58E-02,10.549508,1.71E-03
Propane,Moderate,"Water consumption, Human health",Pt,0.5698192,2.79E-03,0.31403176,3.48E-05
Propane,Moderate,"Water consumption, Terrestrial ecosystem",Pt,6.03E-02,3.22E-04,3.51E-02,4.16E-06
Propane,Moderate,"Water consumption, Aquatic ecosystems",Pt,5.27E-06,4.05E-08,4.94E-06,6.11E-10
Sand Battery,Rare,"Global warming, Human health",Pt,27.974114,1.5943854,0.083966742,0.011351037
Sand Battery,Rare,"Global warming, Terrestrial ecosystems",Pt,1.3686366,0.078004288,0.004107494,0.000555327
Sand Battery,Rare,"Global warming, Freshwater ecosystems",Pt,3.74E-05,2.13E-06,1.12E-07,1.52E-08
Sand Battery,Rare,Stratospheric ozone depletion,Pt,0.004577579,0.000144305,5.36E-05,2.29E-06
Sand Battery,Rare,Ionizing radiation,Pt,0.015925951,0.000154384,0.000129729,5.31E-07
Sand Battery,Rare,"Ozone formation, Human health",Pt,0.071553284,0.009731562,0.000213355,0.000115441
Sand Battery,Rare,Fine particulate matter formation,Pt,59.125008,1.5094515,0.17492354,0.017952254
Sand Battery,Rare,"Ozone formation, Terrestrial ecosystems",Pt,0.16996532,0.023203589,0.00051843,0.000272343
Sand Battery,Rare,Terrestrial acidification,Pt,0.78604031,0.018262933,0.002259274,0.000191306
Sand Battery,Rare,Freshwater eutrophication,Pt,0.25758913,0.002028968,0.000817156,8.33E-06
Sand Battery,Rare,Marine eutrophication,Pt,0.000147266,5.66E-07,7.77E-08,2.97E-09
Sand Battery,Rare,Terrestrial ecotoxicity,Pt,0.70904189,0.009056366,0.001022836,1.96E-05
Sand Battery,Rare,Freshwater ecotoxicity,Pt,0.10360187,0.000481013,0.001946279,9.12E-07
Sand Battery,Rare,Marine ecotoxicity,Pt,0.026867956,0.000158175,0.000366648,3.82E-07
Sand Battery,Rare,Human carcinogenic toxicity,Pt,181.17661,0.99538465,0.82652934,0.005476614
Sand Battery,Rare,Human non-carcinogenic toxicity,Pt,34.193647,0.31874337,0.15978774,0.000359435
Sand Battery,Rare,Land use,Pt,0.27940547,0.018124343,0.010362488,-0.000606827
